-HEADER-
Name :A1
Start:06.03.2007 15:50:00.000
End  :01.01.1970 01:00:00.000
-VARIABLES-
@0=5
@1=6
@2=7
@3=8
@4=9
@5=10
@6=11
@7=12
@8=13
@9=14
-VALUES-
@0:450.000000;40420000;06.03.2007 15:50:02.453
@1:500.000000;40420000;06.03.2007 15:50:02.453
@2:550.000000;40420000;06.03.2007 15:50:02.453
@3:600.000000;40420000;06.03.2007 15:50:02.453
@4:650.000000;40420000;06.03.2007 15:50:02.453
@5:700.000000;40420000;06.03.2007 15:50:02.453
@6:750.000000;40420000;06.03.2007 15:50:02.453
@7:800.000000;40420000;06.03.2007 15:50:02.453
@8:850.000000;40420000;06.03.2007 15:50:02.453
@9:900.000000;40420000;06.03.2007 15:50:02.453
@0:470.000000;40420000;06.03.2007 15:50:04.484
@1:520.000000;40420000;06.03.2007 15:50:04.484
@2:570.000000;40420000;06.03.2007 15:50:04.484
@3:620.000000;40420000;06.03.2007 15:50:04.484
@4:670.000000;40420000;06.03.2007 15:50:04.484
@5:720.000000;40420000;06.03.2007 15:50:04.484
@6:770.000000;40420000;06.03.2007 15:50:04.484
@7:820.000000;40420000;06.03.2007 15:50:04.484
@8:870.000000;40420000;06.03.2007 15:50:04.484
@9:920.000000;40420000;06.03.2007 15:50:04.484
@0:490.000000;40420000;06.03.2007 15:50:06.515
@1:540.000000;40420000;06.03.2007 15:50:06.515
@2:590.000000;40420000;06.03.2007 15:50:06.515
@3:640.000000;40420000;06.03.2007 15:50:06.515
@4:690.000000;40420000;06.03.2007 15:50:06.515
@5:740.000000;40420000;06.03.2007 15:50:06.515
@6:790.000000;40420000;06.03.2007 15:50:06.515
@7:840.000000;40420000;06.03.2007 15:50:06.515
@8:890.000000;40420000;06.03.2007 15:50:06.515
@9:940.000000;40420000;06.03.2007 15:50:06.515
@0:510.000000;40420000;06.03.2007 15:50:08.546
@1:560.000000;40420000;06.03.2007 15:50:08.546
@2:610.000000;40420000;06.03.2007 15:50:08.546
@3:660.000000;40420000;06.03.2007 15:50:08.546
@4:710.000000;40420000;06.03.2007 15:50:08.546
@5:760.000000;40420000;06.03.2007 15:50:08.546
@6:810.000000;40420000;06.03.2007 15:50:08.546
@7:860.000000;40420000;06.03.2007 15:50:08.546
@8:910.000000;40420000;06.03.2007 15:50:08.546
@9:960.000000;40420000;06.03.2007 15:50:08.546
@0:530.000000;40420000;06.03.2007 15:50:10.578
@1:580.000000;40420000;06.03.2007 15:50:10.578
@2:630.000000;40420000;06.03.2007 15:50:10.578
@3:680.000000;40420000;06.03.2007 15:50:10.578
@4:730.000000;40420000;06.03.2007 15:50:10.578
@5:780.000000;40420000;06.03.2007 15:50:10.578
@6:830.000000;40420000;06.03.2007 15:50:10.578
@7:880.000000;40420000;06.03.2007 15:50:10.578
@8:930.000000;40420000;06.03.2007 15:50:10.578
@9:980.000000;40420000;06.03.2007 15:50:10.578
@0:550.000000;40420000;06.03.2007 15:50:12.609
@1:600.000000;40420000;06.03.2007 15:50:12.609
@2:650.000000;40420000;06.03.2007 15:50:12.609
@3:700.000000;40420000;06.03.2007 15:50:12.609
@4:750.000000;40420000;06.03.2007 15:50:12.609
@5:800.000000;40420000;06.03.2007 15:50:12.609
@6:850.000000;40420000;06.03.2007 15:50:12.609
@7:900.000000;40420000;06.03.2007 15:50:12.609
@8:950.000000;40420000;06.03.2007 15:50:12.609
